customer.customerid,customer.number,customer.contract,customer.paperlessbilling,customer.paymentmethod,customer.gender,customer.seniorcitizen,customer.partner,customer.dependents,customer.internetservice,customer.onlinesecurity,customer.onlinebackup,customer.deviceprotection,customer.techsupport,customer.streamingtv,customer.streamingmovies,customer.tenure,customer.phoneservice,customer.multiplelines
6726-ZZXOO,761856179,Month-to-Month,Yes,Electronic check,Female,0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,29,No,No phone service
5220-VGOLP,766869683,Month-to-Month,Yes,Bank transfer (automatic),Female,0,No,No,DSL,No,No,No,Yes,No,Yes,60,No,No phone service
7783-AIANM,765067444,One Year,No,Bank transfer (automatic),Male,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6,Yes,No
7516-CFYCG,766607542,Month-to-Month,Yes,Electronic check,Female,0,Yes,No,DSL,Yes,Yes,No,No,No,No,4,No,No phone service
0774-XRVHP,760185012,Two Year,No,Bank transfer (automatic),Male,0,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,18,Yes,Yes
5402-NMUIN,765821112,Two Year,Yes,Credit card (automatic),Female,0,Yes,No,DSL,No,Yes,No,Yes,No,No,12,No,No phone service
1862-LCOAX,760971449,Two Year,No,Bank transfer (automatic),Female,0,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,47,No,No phone service
6090-GBDTE,760479930,Month-to-Month,No,Credit card (automatic),Female,0,No,No,DSL,Yes,No,Yes,No,No,No,61,No,No phone service
2422-CIQTV,769327294,Two Year,Yes,Bank transfer (automatic),Female,0,Yes,No,DSL,Yes,Yes,No,No,No,No,5,No,No phone service
7807-KQQJS,760742094,Month-to-Month,No,Bank transfer (automatic),Female,0,No,Yes,DSL,Yes,Yes,No,Yes,No,Yes,56,Yes,Yes
3750-BXHEF,766148825,Month-to-Month,No,Mailed check,Male,0,No,Yes,Fiber Optic,No,Yes,No,No,No,No,69,No,No phone service
4190-XYKTD,760283354,Month-to-Month,Yes,Mailed check,Female,0,No,No,Fiber Optic,Yes,Yes,Yes,No,No,No,25,No,No phone service
0384-RKKZK,764641501,Two Year,No,Mailed check,Male,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,52,Yes,Yes
1168-KBFKQ,762413279,Two Year,Yes,Bank transfer (automatic),Female,0,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,53,Yes,Yes
0539-AXDCD,761594081,Two Year,No,Mailed check,Male,0,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,72,Yes,No
1915-EJPYZ,767131875,Two Year,Yes,Electronic check,Female,0,No,Yes,DSL,No,No,Yes,Yes,No,No,33,No,No phone service
6674-BYEBK,760414435,Month-to-Month,Yes,Mailed check,Male,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,33,Yes,No
7238-USKIL,765133030,One Year,No,Mailed check,Female,0,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,69,Yes,Yes
0993-JFVUU,765001966,Month-to-Month,Yes,Electronic check,Male,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,53,Yes,No
2868-KRUTL,768311534,Month-to-Month,No,Mailed check,Female,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,29,Yes,No
5283-NUYUS,762642674,One Year,No,Electronic check,Female,0,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,18,No,No phone service
0219-CBSLC,768278770,Month-to-Month,Yes,Mailed check,Male,0,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,7,Yes,No
0967-QBVAJ,769523956,One Year,No,Credit card (automatic),Female,0,Yes,No,DSL,No,Yes,No,Yes,Yes,No,63,No,No phone service
3817-EIYKP,762609906,One Year,Yes,Bank transfer (automatic),Female,0,No,No,DSL,Yes,No,No,Yes,Yes,No,31,No,No phone service
6364-COUJZ,768770296,Month-to-Month,No,Mailed check,Male,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,22,Yes,Yes
3573-RJMMI,769917183,Two Year,Yes,Mailed check,Male,0,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,Yes,54,No,No phone service
7504-XNMGY,761987335,Month-to-Month,No,Electronic check,Male,0,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No,5,Yes,No
8456-JMDID,761757960,One Year,Yes,Credit card (automatic),Male,0,Yes,No,DSL,Yes,No,No,No,No,No,41,Yes,Yes
5138-CTXWS,765460748,One Year,Yes,Mailed check,Male,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,47,No,No phone service
2409-OOQNN,769655055,Month-to-Month,Yes,Mailed check,Female,0,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,No,31,Yes,No
3660-XXNIZ,767492371,Month-to-Month,No,Electronic check,Male,0,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,51,No,No phone service
6859-UMVMI,762904860,Month-to-Month,Yes,Electronic check,Female,0,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,57,No,No phone service
9825-KCYEG,764969249,One Year,No,Mailed check,Male,0,Yes,No,DSL,No,No,No,Yes,No,No,61,Yes,Yes
5099-WXKWB,762904870,One Year,No,Credit card (automatic),Male,0,No,Yes,DSL,No,No,No,No,Yes,No,6,No,No phone service
3308-VZCCC,767033647,One Year,No,Credit card (automatic),Male,0,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,67,No,No phone service
3930-QNNGI,760119603,Month-to-Month,Yes,Credit card (automatic),Male,0,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,51,Yes,Yes
0720-ZSMDB,768147763,Two Year,No,Credit card (automatic),Female,0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,49,No,No phone service
9603-GJULE,760152374,Two Year,No,Bank transfer (automatic),Male,0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,66,No,No phone service
7406-MBUFI,769098040,Two Year,Yes,Mailed check,Female,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,69,No,No phone service
6819-ZYQIV,766345528,Month-to-Month,Yes,Electronic check,Female,0,Yes,Yes,DSL,Yes,No,No,No,No,No,17,No,No phone service
3866-LHRND,760676666,Month-to-Month,Yes,Credit card (automatic),Male,0,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,20,Yes,Yes
4071-LLKRY,762118465,Month-to-Month,No,Credit card (automatic),Female,0,Yes,No,Fiber Optic,No,No,Yes,Yes,No,Yes,55,No,No phone service
1048-FQAAD,761954630,Month-to-Month,Yes,Electronic check,Female,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,51,Yes,Yes
4363-MRONR,764150087,Two Year,Yes,Bank transfer (automatic),Male,0,No,Yes,DSL,Yes,Yes,No,No,No,No,21,Yes,No
3428-RNSWE,760054095,One Year,No,Bank transfer (automatic),Male,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,11,No,No phone service
4117-PQOVE,768934229,Two Year,Yes,Credit card (automatic),Male,0,No,Yes,DSL,No,Yes,Yes,No,Yes,No,69,No,No phone service
0469-FJLIY,763756887,Two Year,Yes,Bank transfer (automatic),Female,0,No,Yes,Fiber Optic,No,No,No,Yes,No,Yes,12,Yes,Yes
7009-EFJYW,763724131,Two Year,No,Credit card (automatic),Female,0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,31,Yes,No
3859-OIRHG,761659747,Two Year,No,Bank transfer (automatic),Male,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,14,No,No phone service
9373-KFXGV,767623525,Two Year,Yes,Bank transfer (automatic),Male,0,No,No,DSL,No,Yes,Yes,No,Yes,Yes,59,No,No phone service
9497-EENVT,760283497,Month-to-Month,Yes,Bank transfer (automatic),Female,0,No,Yes,DSL,No,Yes,No,Yes,No,No,72,Yes,No
1146-GQBOE,764969322,Month-to-Month,No,Bank transfer (automatic),Male,0,No,Yes,Fiber Optic,Yes,No,No,No,No,Yes,28,Yes,No
6195-KGRDU,763330921,Month-to-Month,Yes,Bank transfer (automatic),Male,0,No,No,DSL,No,Yes,Yes,No,No,No,55,No,No phone service
2188-VCUKW,769917296,Month-to-Month,No,Mailed check,Male,0,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,51,No,No phone service
6837-SKWIS,768082293,Month-to-Month,Yes,Mailed check,Female,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,15,No,No phone service
8369-ARHGX,762478969,One Year,Yes,Credit card (automatic),Female,0,Yes,Yes,DSL,Yes,No,No,No,Yes,No,59,Yes,No
6311-GSHAE,765100420,Month-to-Month,No,Credit card (automatic),Female,0,Yes,No,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,4,No,No phone service
7604-WVNDD,760578443,One Year,Yes,Credit card (automatic),Male,0,Yes,No,DSL,No,No,No,Yes,No,No,3,Yes,Yes
9060-AUSKC,760676758,Two Year,No,Credit card (automatic),Female,0,No,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,19,No,No phone service
2018-PSEBW,762347927,Two Year,No,Bank transfer (automatic),Male,0,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,Yes,50,Yes,Yes
6259-LPXNR,765755801,Month-to-Month,No,Electronic check,Male,0,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,29,No,No phone service
2491-JTQLO,760250777,Two Year,No,Bank transfer (automatic),Male,0,No,No,Fiber Optic,Yes,No,Yes,No,No,Yes,43,No,No phone service
9404-ROKCX,766869915,Two Year,No,Credit card (automatic),Female,0,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,33,No,No phone service
2074-YXUUC,768180644,Month-to-Month,Yes,Mailed check,Male,0,No,No,Fiber Optic,Yes,No,Yes,Yes,No,No,45,Yes,Yes
9597-XKEDK,767852967,One Year,Yes,Mailed check,Female,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,23,No,No phone service
5693-YJJNB,769917351,Two Year,Yes,Credit card (automatic),Male,0,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,65,No,No phone service
7033-ABFBY,767230384,Two Year,No,Credit card (automatic),Male,0,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,60,Yes,Yes
6343-PTSSR,761594294,One Year,Yes,Bank transfer (automatic),Male,0,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,34,Yes,Yes
7742-ZBABQ,761889206,Two Year,No,Electronic check,Male,0,No,No,Fiber Optic,Yes,No,No,Yes,Yes,No,44,Yes,No
1818-VEIKZ,764543417,Two Year,No,Electronic check,Male,0,No,No,DSL,Yes,Yes,Yes,No,No,No,40,Yes,Yes
5677-BOYHH,763265467,Month-to-Month,Yes,Credit card (automatic),Female,0,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,63,No,No phone service
3294-ARWMR,768442812,Two Year,Yes,Electronic check,Male,0,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,33,Yes,Yes
5450-PHCTW,760086976,One Year,No,Credit card (automatic),Female,0,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,65,No,No phone service
0448-LXCKT,768410051,Month-to-Month,Yes,Mailed check,Female,0,No,Yes,DSL,No,Yes,No,Yes,No,Yes,7,No,No phone service
8756-ZAWMM,765362628,Two Year,Yes,Bank transfer (automatic),Male,0,No,No,Fiber Optic,Yes,No,No,Yes,No,Yes,26,Yes,No
3215-FQBPZ,769262021,Month-to-Month,No,Mailed check,Male,0,No,No,DSL,No,No,No,Yes,No,No,17,Yes,Yes
7371-JWIBY,760381891,One Year,No,Credit card (automatic),Female,0,No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,59,Yes,Yes
3858-VACQP,768901575,Month-to-Month,Yes,Bank transfer (automatic),Female,0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,51,Yes,No
4234-VIPKF,765919687,Two Year,Yes,Electronic check,Male,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,59,Yes,No
3005-ONVEY,766706120,One Year,No,Mailed check,Female,0,No,No,Fiber Optic,No,No,Yes,Yes,Yes,No,30,No,No phone service
1101-HFRKI,765821387,Two Year,No,Bank transfer (automatic),Male,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,41,No,No phone service
6872-RBJRM,761594322,Month-to-Month,Yes,Credit card (automatic),Female,0,Yes,Yes,DSL,No,No,No,No,No,Yes,32,No,No phone service
2118-RNKFK,766607828,Two Year,Yes,Mailed check,Male,0,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,35,Yes,No
5454-UMYUB,768016854,Month-to-Month,No,Credit card (automatic),Male,0,No,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,38,No,No phone service
1481-OFOEL,768901590,One Year,No,Bank transfer (automatic),Male,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,55,Yes,No
4123-APUDZ,769753561,Month-to-Month,Yes,Mailed check,Female,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,13,No,No phone service
4360-WPHMW,768180699,Two Year,No,Credit card (automatic),Male,0,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,39,Yes,Yes
8433-YTAWF,760152544,One Year,Yes,Mailed check,Female,0,Yes,No,DSL,No,No,No,No,No,No,53,No,No phone service
4514-YKUQJ,767787495,Two Year,Yes,Bank transfer (automatic),Female,0,No,No,DSL,No,Yes,No,No,Yes,Yes,42,No,No phone service
2958-XZHLR,760119789,Month-to-Month,Yes,Credit card (automatic),Female,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,53,Yes,Yes
3284-VUPJH,765559281,Two Year,Yes,Bank transfer (automatic),Male,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,44,No,No phone service
9633-NCVIC,760873459,Two Year,No,Bank transfer (automatic),Female,0,No,No,Fiber Optic,Yes,No,Yes,No,No,No,1,No,No phone service
0155-GYGPT,760349172,One Year,No,Electronic check,Male,0,Yes,No,DSL,Yes,No,Yes,No,Yes,No,60,No,No phone service
3677-EIHXU,762741237,Month-to-Month,No,Bank transfer (automatic),Female,0,No,Yes,DSL,No,Yes,No,Yes,Yes,No,55,No,No phone service
9167-SNCCM,764838393,Month-to-Month,No,Credit card (automatic),Female,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,45,Yes,No
7551-RZVOY,765297146,Two Year,No,Electronic check,Male,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,11,Yes,No
6111-ILDPZ,765723131,Month-to-Month,No,Bank transfer (automatic),Male,0,No,No,DSL,Yes,No,No,Yes,No,No,61,Yes,No
8430-LXUXT,769065468,Month-to-Month,No,Credit card (automatic),Male,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,44,Yes,Yes
0454-NZRUZ,763331071,One Year,Yes,Bank transfer (automatic),Female,0,No,No,DSL,No,No,Yes,No,Yes,Yes,48,Yes,No
0452-ROMQU,767296001,Month-to-Month,No,Bank transfer (automatic),Female,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,10,Yes,Yes
7653-UXUIM,769753611,Two Year,Yes,Credit card (automatic),Female,0,No,Yes,DSL,No,No,No,Yes,Yes,No,26,Yes,No
3074-HTRGH,765657614,Month-to-Month,No,Bank transfer (automatic),Female,0,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,Yes,40,No,No phone service
6132-RFILO,764772885,Two Year,Yes,Mailed check,Male,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,32,No,No phone service
4263-GKEPT,763068951,Month-to-Month,Yes,Bank transfer (automatic),Male,0,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,42,Yes,No
7492-NGKKX,767099416,Month-to-Month,No,Mailed check,Female,0,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,54,Yes,Yes
6337-LQRMW,762774043,Month-to-Month,No,Bank transfer (automatic),Male,0,No,No,Fiber Optic,Yes,No,Yes,Yes,No,No,41,No,No phone service
3803-EKIGC,766837279,Month-to-Month,No,Electronic check,Female,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,69,No,No phone service
1199-LGYPP,769393183,Two Year,Yes,Mailed check,Male,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,29,No,No phone service
8577-MWZJQ,767492640,One Year,Yes,Bank transfer (automatic),Female,0,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,22,Yes,No
6558-QOUPW,763429422,One Year,Yes,Electronic check,Male,0,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,52,No,No phone service
9693-FADDN,763167290,Month-to-Month,Yes,Credit card (automatic),Female,0,Yes,No,Fiber Optic,No,Yes,No,No,No,No,56,No,No phone service
9788-KSJOC,769065531,Month-to-Month,No,Credit card (automatic),Male,0,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,26,No,No phone service
3853-WIXJP,761954883,Month-to-Month,No,Mailed check,Male,0,No,No,DSL,Yes,No,No,No,Yes,Yes,65,No,No phone service
0395-DMEDM,765231685,One Year,No,Bank transfer (automatic),Male,0,Yes,No,DSL,No,Yes,No,No,No,Yes,62,No,No phone service
6918-VBHRP,764772935,Month-to-Month,No,Electronic check,Female,0,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,7,Yes,No
0498-XBQCC,761594441,Month-to-Month,Yes,Electronic check,Female,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,54,Yes,No
8982-YVYAA,761135695,Two Year,Yes,Credit card (automatic),Female,0,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,5,Yes,No
9431-JVJNS,764936783,One Year,No,Credit card (automatic),Female,0,No,Yes,Fiber Optic,No,No,No,No,No,No,61,No,No phone service
6749-FWQJF,760087121,Two Year,Yes,Bank transfer (automatic),Male,0,No,Yes,Fiber Optic,Yes,No,No,No,No,No,55,No,No phone service
3372-EOTRH,762020447,Two Year,Yes,Credit card (automatic),Female,0,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,32,Yes,No
5933-OUXHV,769589859,One Year,No,Credit card (automatic),Male,0,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,11,Yes,No
2771-OVAIZ,767197798,Two Year,Yes,Electronic check,Male,0,No,Yes,Fiber Optic,Yes,No,No,No,No,No,56,Yes,No
0620-EOOPL,765461095,Month-to-Month,Yes,Electronic check,Male,0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,11,Yes,Yes
7490-OFAUJ,765723240,Two Year,Yes,Bank transfer (automatic),Male,0,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,37,No,No phone service
7352-MDLEP,769360489,Two Year,No,Electronic check,Male,0,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,41,No,No phone service
8318-VTWXC,760185452,Month-to-Month,Yes,Credit card (automatic),Female,0,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,13,No,No phone service
7356-RXORB,768311918,Two Year,No,Mailed check,Male,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,41,Yes,No
8006-URDBV,766149238,One Year,Yes,Electronic check,Male,0,No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,33,Yes,No
6035-ZBOPS,762675835,Month-to-Month,No,Mailed check,Male,0,No,No,Fiber Optic,Yes,Yes,No,No,Yes,No,70,Yes,Yes
9461-LSRGY,764248701,Two Year,Yes,Mailed check,Male,0,Yes,No,Fiber Optic,No,Yes,Yes,No,No,Yes,42,No,No phone service
7412-VPKQH,767132295,One Year,Yes,Electronic check,Female,0,No,No,DSL,Yes,No,Yes,Yes,Yes,No,12,No,No phone service
7128-DJNAS,769000074,Month-to-Month,Yes,Credit card (automatic),Male,0,Yes,No,DSL,No,No,No,Yes,Yes,Yes,53,No,No phone service
5036-JBHCS,765952653,Month-to-Month,No,Bank transfer (automatic),Female,0,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,71,No,No phone service
2366-YQEZH,764707469,Two Year,Yes,Bank transfer (automatic),Male,0,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,33,Yes,No
0653-XNZRZ,769655439,Two Year,Yes,Credit card (automatic),Male,0,Yes,Yes,DSL,No,No,Yes,No,No,Yes,62,No,No phone service
9393-AHTPS,765919889,Two Year,No,Credit card (automatic),Male,0,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,40,Yes,Yes
3022-TTBTY,764347026,Two Year,Yes,Bank transfer (automatic),Female,0,Yes,No,Fiber Optic,No,No,Yes,Yes,No,Yes,48,Yes,Yes
